PER#,P#,THEATRE#,PDATE,PHOUR,PMINUTE,COMMENTS
603,10,1,09-MAY-18,14,30,Normal day time
604,10,1,10-MAY-18,18,45,Earlier start evening
605,10,1,10-MAY-18,14,0,Earlier start day time
606,11,2,04-MAY-18,19,30,Normal evening time
607,11,2,05-MAY-18,19,30,Normal evening time
608,11,2,06-MAY-18,19,30,Normal evening time
609,11,2,06-MAY-18,14,30,Normal day time
610,11,2,07-MAY-18,19,30,Normal evening time
611,11,2,08-MAY-18,19,30,Normal evening time
612,11,2,08-MAY-18,14,30,Normal day time
613,11,2,09-MAY-18,19,30,Normal evening time
614,11,2,09-MAY-18,14,30,Normal day time
615,11,2,10-MAY-18,18,45,Earlier start evening
616,11,2,10-MAY-18,14,0,Earlier start day time
617,12,3,04-MAY-18,19,30,Normal evening time
618,12,3,05-MAY-18,19,30,Normal evening time
619,12,3,06-MAY-18,19,30,Normal evening time
620,12,3,06-MAY-18,14,30,Normal day time
621,12,3,07-MAY-18,19,30,Normal evening time
622,12,3,08-MAY-18,19,30,Normal evening time
623,12,3,08-MAY-18,14,30,Normal day time
624,12,3,09-MAY-18,19,30,Normal evening time
625,12,3,09-MAY-18,14,30,Normal day time
626,12,3,10-MAY-18,18,45,Earlier start evening
627,12,3,10-MAY-18,14,0,Earlier start day time
628,13,4,04-MAY-18,19,30,Normal evening time
629,13,4,05-MAY-18,19,30,Normal evening time
630,13,4,06-MAY-18,19,30,Normal evening time
631,13,4,06-MAY-18,14,30,Normal day time
632,13,4,07-MAY-18,19,30,Normal evening time
633,13,4,08-MAY-18,19,30,Normal evening time
634,13,4,08-MAY-18,14,30,Normal day time
635,13,4,09-MAY-18,19,30,Normal evening time
636,13,4,09-MAY-18,14,30,Normal day time
637,13,4,10-MAY-18,18,45,Earlier start evening
638,13,4,10-MAY-18,14,0,Earlier start day time
639,1,5,04-MAY-18,19,30,Normal evening time
640,1,5,05-MAY-18,19,30,Normal evening time
641,1,5,06-MAY-18,19,30,Normal evening time
642,1,5,06-MAY-18,14,30,Normal day time
643,1,5,07-MAY-18,19,30,Normal evening time
644,1,5,08-MAY-18,19,30,Normal evening time
645,1,5,08-MAY-18,14,30,Normal day time
646,1,5,09-MAY-18,19,30,Normal evening time
647,1,5,09-MAY-18,14,30,Normal day time
648,1,5,10-MAY-18,18,45,Earlier start evening
649,1,5,10-MAY-18,14,0,Earlier start day time
650,2,6,04-MAY-18,19,30,Normal evening time
651,2,6,05-MAY-18,19,30,Normal evening time
652,2,6,06-MAY-18,19,30,Normal evening time
653,2,6,06-MAY-18,14,30,Normal day time
654,2,6,07-MAY-18,19,30,Normal evening time
655,2,6,08-MAY-18,19,30,Normal evening time
656,2,6,08-MAY-18,14,30,Normal day time
657,2,6,09-MAY-18,19,30,Normal evening time
658,2,6,09-MAY-18,14,30,Normal day time
659,2,6,10-MAY-18,18,45,Earlier start evening
660,2,6,10-MAY-18,14,0,Earlier start day time
661,11,1,11-MAY-18,19,30,Normal evening time
662,11,1,12-MAY-18,19,30,Normal evening time
663,11,1,13-MAY-18,19,30,Normal evening time
664,11,1,13-MAY-18,14,30,Normal day time
665,11,1,14-MAY-18,19,30,Normal evening time
666,11,1,15-MAY-18,19,30,Normal evening time
667,11,1,15-MAY-18,14,30,Normal day time
668,11,1,16-MAY-18,19,30,Normal evening time
669,11,1,16-MAY-18,14,30,Normal day time
670,11,1,17-MAY-18,18,45,Earlier start evening
671,11,1,17-MAY-18,14,0,Earlier start day time
672,12,2,11-MAY-18,19,30,Normal evening time
673,12,2,12-MAY-18,19,30,Normal evening time
674,12,2,13-MAY-18,19,30,Normal evening time
675,12,2,13-MAY-18,14,30,Normal day time
676,12,2,14-MAY-18,19,30,Normal evening time
677,12,2,15-MAY-18,19,30,Normal evening time
678,12,2,15-MAY-18,14,30,Normal day time
679,12,2,16-MAY-18,19,30,Normal evening time
680,12,2,16-MAY-18,14,30,Normal day time
681,12,2,17-MAY-18,18,45,Earlier start evening
682,12,2,17-MAY-18,14,0,Earlier start day time
683,13,3,11-MAY-18,19,30,Normal evening time
684,13,3,12-MAY-18,19,30,Normal evening time
685,13,3,13-MAY-18,19,30,Normal evening time
686,13,3,13-MAY-18,14,30,Normal day time
687,13,3,14-MAY-18,19,30,Normal evening time
688,13,3,15-MAY-18,19,30,Normal evening time
689,13,3,15-MAY-18,14,30,Normal day time
690,13,3,16-MAY-18,19,30,Normal evening time
691,13,3,16-MAY-18,14,30,Normal day time
