PURCHASE#,CLIENT#,PER#,PAYMENTMETHOD,DELIVERYMETHOD,TOTALAMOUNT
803,2606,630,Cash,Pick Up,6
804,2919,631,Credit Card,Mail,6.5
805,1075,632,Credit Card,Pick Up,6
806,1075,632,Credit Card,Pick Up,6
807,2920,633,Cash,Mail,6.5
808,2249,634,Debit Card,Mail,6.5
809,4112,635,Debit Card,Mail,6.5
810,4299,636,Cash,Mail,6.5
811,4292,637,Debit Card,Pick Up,6
812,3862,638,Debit Card,Pick Up,6
813,1520,639,Debit Card,Mail,6.5
814,1520,639,Credit Card,Pick Up,6
815,3753,640,Cash,Pick Up,6
816,3753,640,Credit Card,Pick Up,6
817,4140,641,Credit Card,Mail,6.5
818,4512,642,Cash,Pick Up,6
819,3538,643,Cash,Mail,6.5
820,3538,643,Credit Card,Pick Up,6
821,3293,644,Cash,Mail,6.5
822,2266,645,Debit Card,Pick Up,6
823,4586,646,Cash,Pick Up,6
824,4969,647,Credit Card,Mail,6.5
825,3770,648,Credit Card,Pick Up,6
826,3174,649,Debit Card,Mail,6.5
827,3916,650,Cash,Pick Up,6
828,3916,650,Debit Card,Pick Up,6
829,4197,651,Debit Card,Pick Up,6
830,4197,651,Credit Card,Pick Up,6
831,2888,652,Cash,Pick Up,6
832,3655,653,Cash,Pick Up,6
833,2883,654,Debit Card,Mail,6.5
834,2883,654,Debit Card,Pick Up,6
835,3493,655,Debit Card,Pick Up,6
836,3074,656,Debit Card,Pick Up,6
837,1670,657,Cash,Mail,6.5
838,4920,658,Debit Card,Pick Up,6
839,2769,659,Cash,Pick Up,6
840,2674,660,Cash,Pick Up,6
841,2087,661,Credit Card,Pick Up,6
842,2087,661,Credit Card,Pick Up,6
843,1954,662,Cash,Pick Up,6
844,1954,662,Debit Card,Pick Up,6
845,1749,663,Debit Card,Mail,6.5
846,1463,664,Credit Card,Pick Up,6
847,789,665,Cash,Mail,6.5
848,789,665,Cash,Pick Up,6
849,1640,666,Credit Card,Pick Up,6
850,249,667,Credit Card,Mail,6.5
851,970,668,Credit Card,Pick Up,6
852,990,669,Credit Card,Pick Up,6
853,2535,670,Debit Card,Pick Up,6
854,3109,671,Debit Card,Pick Up,6
855,396,672,Credit Card,Mail,6.5
856,396,672,Cash,Mail,6.5
857,540,673,Cash,Mail,6.5
858,540,673,Debit Card,Mail,6.5
859,1453,674,Debit Card,Pick Up,6
860,1980,675,Credit Card,Pick Up,6
861,2548,676,Debit Card,Pick Up,6
862,2548,676,Credit Card,Mail,6.5
863,766,677,Debit Card,Mail,6.5
864,1103,678,Credit Card,Pick Up,6
865,366,679,Cash,Pick Up,6
866,864,680,Cash,Mail,6.5
867,31,681,Debit Card,Pick Up,6
868,696,682,Debit Card,Pick Up,6
869,1055,683,Cash,Pick Up,6
870,1055,683,Debit Card,Pick Up,6
871,1516,684,Credit Card,Mail,6.5
872,1516,684,Cash,Pick Up,6
873,1994,685,Debit Card,Mail,6.5
874,1189,686,Credit Card,Mail,6.5
875,1872,687,Credit Card,Mail,6.5
876,1872,687,Credit Card,Pick Up,6
877,56,688,Debit Card,Mail,6.5
878,3840,689,Debit Card,Pick Up,6
879,1712,690,Debit Card,Mail,6.5
880,1265,691,Credit Card,Mail,6.5
881,122,692,Cash,Mail,6.5
882,2302,693,Cash,Pick Up,6
883,3378,694,Debit Card,Pick Up,6
884,3378,694,Cash,Pick Up,6
885,3146,695,Credit Card,Pick Up,6
886,3146,695,Credit Card,Mail,6.5
887,2753,696,Cash,Pick Up,6
888,4031,697,Debit Card,Mail,6.5
889,3565,698,Credit Card,Pick Up,6
890,3565,698,Cash,Pick Up,6
891,903,699,Cash,Pick Up,6
892,3188,700,Credit Card,Mail,6.5
893,4570,701,Cash,Mail,6.5
894,3103,702,Cash,Mail,6.5
895,4711,703,Credit Card,Pick Up,6
896,2843,704,Debit Card,Mail,6.5
897,4410,705,Credit Card,Pick Up,6
898,4410,705,Cash,Mail,6.5
899,4732,706,Cash,Pick Up,6
900,4732,706,Debit Card,Pick Up,6
901,4433,707,Credit Card,Pick Up,6
902,4482,708,Credit Card,Mail,6.5
903,4101,709,Credit Card,Pick Up,6
904,4101,709,Debit Card,Mail,6.5
905,4563,710,Credit Card,Pick Up,6
906,4594,711,Credit Card,Pick Up,6
907,4299,712,Debit Card,Mail,6.5
908,4418,713,Credit Card,Mail,6.5
909,4121,714,Debit Card,Mail,6.5
910,412,715,Credit Card,Pick Up,6
911,3432,716,Cash,Pick Up,6
912,3432,716,Credit Card,Mail,6.5
913,2784,717,Cash,Pick Up,6
914,2784,717,Cash,Pick Up,6
915,2615,718,Cash,Pick Up,6
916,600,719,Cash,Pick Up,6
917,4952,720,Cash,Pick Up,6
918,4952,720,Credit Card,Mail,6.5
919,3742,721,Cash,Pick Up,6
920,2796,722,Cash,Mail,6.5
921,4106,723,Cash,Pick Up,6
922,3288,724,Debit Card,Pick Up,6
923,3084,725,Debit Card,Pick Up,6
924,2489,726,Cash,Pick Up,6
925,21,727,Cash,Pick Up,6
926,21,727,Credit Card,Pick Up,6
927,2277,728,Credit Card,Mail,6.5
928,2277,728,Credit Card,Pick Up,6
929,2298,729,Cash,Pick Up,6
930,511,730,Cash,Mail,6.5
931,941,731,Debit Card,Pick Up,6
932,941,731,Debit Card,Mail,6.5
933,463,732,Credit Card,Mail,6.5
934,2234,733,Cash,Pick Up,6
935,1962,734,Debit Card,Pick Up,6
936,50,735,Cash,Mail,6.5
937,2147,736,Credit Card,Pick Up,6
938,433,737,Credit Card,Pick Up,6
939,1855,738,Debit Card,Pick Up,6
940,1855,738,Credit Card,Pick Up,6
941,3969,739,Credit Card,Pick Up,6
942,3969,739,Debit Card,Mail,6.5
943,752,740,Credit Card,Pick Up,6
944,849,741,Credit Card,Pick Up,6
945,709,742,Cash,Mail,6.5
946,709,742,Credit Card,Pick Up,6
947,2158,743,Cash,Mail,6.5
948,227,744,Cash,Pick Up,6
949,2425,745,Credit Card,Pick Up,6
950,621,746,Debit Card,Pick Up,6
951,2234,747,Cash,Mail,6.5
952,1341,748,Cash,Mail,6.5
953,4473,749,Debit Card,Pick Up,6
954,4473,749,Debit Card,Mail,6.5
955,4477,750,Cash,Mail,6.5
956,4477,750,Credit Card,Mail,6.5
957,1116,751,Credit Card,Pick Up,6
958,1103,752,Cash,Mail,6.5
959,1566,753,Debit Card,Pick Up,6
