ID	GradPR	VAF
1	0.7321957	0.3100195
2	0.8312862	0.2676687
3	0.7687803	0.4189092
4	0.7831351	0.4704178
5	0.7666574	0.4295499
6	0.8492783	0.3469985
7	0.7338743	0.3546149
8	0.6926224	0.3344194
9	0.6722447	0.3350848
10	0.769926	0.3645743
11	0.7202712	0.3883518
12	0.665924	0.3091816
13	0.7658928	0.3863765
14	0.6861531	0.3914492
15	0.8198979	0.3294054
16	0.6887858	0.3962733
17	0.7663291	0.4245359
18	0.7479232	0.3165818
19	0.7358953	0.2814357
20	0.7392573	0.447472
		
21	0.7234937	0.4854111
22	0.7542329	0.3272992
23	0.7860224	0.3068478
24	0.7122815	0.3615827
25	0.77109	0.312676
26	0.8054485	0.3435258
27	0.7277429	0.3893403
28	0.6465714	0.2833443
29	0.7821095	0.4404996
30	0.7515983	0.4108868
31	0.7615317	0.2768792
32	0.7235861	0.3016554
33	0.7712005	0.2745925
34	0.7826395	0.2759668
35	0.8265426	0.3872947
36	0.8114287	0.2721306
37	0.7871229	0.3375516
38	0.6495881	0.4589973
39	0.7091948	0.3128669
40	0.7617638	0.3523108
41	0.8088292	0.3300586
42	0.7659081	0.3675205
43	0.7403383	0.3288346
44	0.793587	0.2859881
45	0.8191001	0.2708609
46	0.7113337	0.2924341
47	0.8027397	0.3527721
48	0.769152	0.4005065
49	0.7226626	0.2240364
50	0.7941327	0.4326384
51	0.7714603	0.3633537
52	0.6835327	0.3814406
53	0.7457769	0.3109646
54	0.6910655	0.3555429
55	0.7584185	0.306173
56	0.7683579	0.3520865
57	0.6909826	0.3833102
58	0.8584656	0.2709479
59	0.7631837	0.3712566
60	0.8053081	0.3252361
61	0.7688635	0.3127253
62	0.7606197	0.3640477
63	0.8192586	0.3448406
64	0.8264018	0.3723538
65	0.7485053	0.3122308
66	0.7091413	0.3018902
67	0.8570913	0.3199802
68	0.7382928	0.3354708
69	0.7769252	0.2646586
70	0.7464184	0.3681076
71	0.7047223	0.3278692
72	0.7834294	0.4354551
73	0.6413971	0.4113127
74	0.8065926	0.3337605
75	0.6609439	0.3956598
76	0.7274364	0.4128955
77	0.6739011	0.3536375
78	0.7988132	0.3314605
79		
80	0.6902298	0.3426567
81	0.8002055	0.253518
82	0.6642682	0.368185
83	0.7121775	0.4357558
84	0.7038934	0.4001059
85	0.7713259	0.3410827
86	0.7117125	0.2975054
87	0.7236576	0.3524187
88	0.7806994	0.3078032
89	0.7338584	0.330394
90	0.8468965	0.2933063
91	0.8030964	0.3933178
92	0.7501132	0.4184637
93	0.6334706	0.3938497
94	0.7657183	0.3566467
95	0.7262627	0.3626616
96	0.710248	0.3598027
97	0.7426009	0.3889697
98	0.7311775	0.35999
99	0.7710352	0.4305552
100	0.748762	0.2740038
101	0.8444547	0.3435469
102	0.7782057	0.3553787
103	0.7231349	0.3035952
104	0.7281397	0.3816123
105	0.708381	0.3655696
106	0.8281923	0.3229558
107	0.7791877	0.2965066
108	0.7791229	0.3239677
109	0.7331596	0.3645772
110	0.7738586	0.4128882
111	0.7678894	0.3281204
112	0.7181997	0.3239614
113	0.7222458	0.3697408
114	0.7255529	0.3511875
115	0.8094687	0.3797715
